AverageFloorArea,Year/Quarter,Property Type,EnergyUseAveragePerDwelling,CarbonDioxideEmissionsAveragePerDwelling,LightingCostAveragePerDwelling,HeatingCostAveragePerDwelling,HotWaterCostAveragePerDwelling
56.0,2,4,301.9791666666667,2.3854166666666665,57.333333333333336,455.0520833333333,129.96875
56.0,2,5,320.6,3.0,67.3,714.5,152.4
56.0,3,1,311.3157894736842,2.5789473684210527,53.78947368421053,515.8947368421053,116.47368421052632
56.0,3,2,288.10364145658264,2.2016806722689077,55.831932773109244,421.72549019607845,135.7170868347339
56.0,3,4,297.5520833333333,2.375,57.041666666666664,462.4479166666667,132.51041666666666
56.0,3,5,291.75,2.75,65.875,684.5,139.25
56.0,4,1,313.1111111111111,2.5185185185185186,53.7037037037037,523.5555555555555,117.51851851851852
56.0,4,2,290.49872773536896,2.2061068702290076,55.19592875318066,420.04325699745544,133.9033078880407
56.0,4,4,319.72549019607845,2.5,55.372549019607845,476.70588235294116,134.37254901960785
56.0,4,5,257.75,2.5,70.25,721.75,150.75
57.0,1,1,322.9166666666667,2.625,51.25,531.4166666666666,110.66666666666667
57.0,1,2,295.2636655948553,2.270096463022508,57.60450160771704,437.0771704180064,138.63987138263664
57.0,1,4,303.7,2.46,56.57,467.54,131.54
57.0,1,5,303.8125,2.8125,60.125,622.0,126.0
57.0,2,1,296.57142857142856,2.5,53.642857142857146,527.7142857142857,107.57142857142857
57.0,2,2,286.5064516129032,2.229032258064516,56.348387096774196,426.2225806451613,133.1451612903226
57.0,2,4,298.247311827957,2.4086021505376345,56.0,455.7204301075269,128.40860215053763
57.0,2,5,306.5,2.3333333333333335,71.5,725.5,132.5
57.0,3,1,270.75,2.1875,49.5625,484.5625,108.5
57.0,3,2,283.16814159292034,2.206489675516224,57.749262536873154,422.10029498525074,136.12094395280235
57.0,3,4,305.0744680851064,2.521276595744681,56.138297872340424,476.6276595744681,138.48936170212767
57.0,3,5,263.75,2.75,68.75,728.75,155.5
57.0,4,1,288.37931034482756,2.3448275862068964,52.275862068965516,500.6896551724138,110.89655172413794
57.0,4,2,285.9486301369863,2.202054794520548,55.56506849315068,425.17123287671234,131.96575342465752
57.0,4,4,302.88775510204084,2.4183673469387754,57.40816326530612,468.0204081632653,126.04081632653062
57.0,4,5,328.8333333333333,3.5,62.666666666666664,736.6666666666666,153.0
58.0,1,1,316.96,2.72,53.12,527.72,121.24
58.0,1,2,290.4439834024896,2.3070539419087135,58.684647302904565,445.3900414937759,137.3609958506224
58.0,1,3,221.0,2.0,53.0,440.0,61.0
58.0,1,4,313.10377358490564,2.641509433962264,57.990566037735846,513.7169811320755,137.67924528301887
58.0,1,5,289.1111111111111,2.7777777777777777,56.666666666666664,608.2222222222222,126.44444444444444
58.0,2,1,301.9166666666667,2.6666666666666665,54.25,551.1666666666666,115.16666666666667
58.0,2,2,292.9117647058824,2.369747899159664,57.00420168067227,443.33613445378154,135.7268907563025
58.0,2,4,294.37142857142857,2.4761904761904763,58.65714285714286,474.5047619047619,125.96190476190476
58.0,2,5,302.2,2.6,62.0,589.2,120.4
58.0,3,1,307.09090909090907,2.4545454545454546,55.63636363636363,521.5454545454545,127.45454545454545
58.0,3,2,286.5375494071146,2.3043478260869565,58.77075098814229,443.7154150197629,137.5177865612648
58.0,3,4,299.40458015267177,2.5267175572519083,59.29770992366412,475.4351145038168,131.64885496183206
58.0,3,5,272.0,2.5555555555555554,64.66666666666667,684.2222222222222,154.44444444444446
58.0,4,1,304.06666666666666,2.6666666666666665,53.666666666666664,509.3,111.76666666666667
58.0,4,2,283.6126482213439,2.260869565217391,58.1897233201581,439.3320158102767,134.21343873517787
58.0,4,4,304.33870967741933,2.5080645161290325,57.75,473.8790322580645,131.86290322580646
58.0,4,5,319.25,3.0,77.375,735.125,145.5
59.0,1,1,314.09090909090907,2.6363636363636362,58.63636363636363,544.5909090909091,112.04545454545455
59.0,1,2,287.1758793969849,2.336683417085427,59.19095477386934,448.58793969849245,138.85929648241205
59.0,1,4,304.3720930232558,2.5891472868217056,58.89147286821706,483.7674418604651,132.35658914728683
59.0,1,5,302.8888888888889,2.7777777777777777,65.0,668.4444444444445,132.66666666666666
59.0,2,1,313.3125,2.6875,54.5625,529.8125,107.5625
59.0,2,2,292.07881773399015,2.3645320197044337,59.40394088669951,454.2758620689655,138.064039408867
59.0,2,4,299.0217391304348,2.5,58.52173913043478,474.04347826086956,130.80434782608697
59.0,2,5,284.6666666666667,2.7777777777777777,70.44444444444444,704.2222222222222,157.55555555555554
59.0,3,1,318.42857142857144,2.8095238095238093,55.714285714285715,548.4285714285714,125.47619047619048
59.0,3,2,288.7581395348837,2.353488372093023,59.6,453.6046511627907,137.53023255813955
59.0,3,4,295.6990291262136,2.592233009708738,59.650485436893206,492.31067961165047,135.6504854368932
59.0,3,5,398.0,4.0,41.0,727.0,169.0
59.0,4,1,302.80645161290323,2.5483870967741935,53.96774193548387,504.4193548387097,108.70967741935483
59.0,4,2,287.32338308457713,2.3781094527363185,58.54726368159204,446.76119402985074,137.7363184079602
59.0,4,4,301.93220338983053,2.5,58.94915254237288,486.635593220339,130.60169491525423
59.0,4,5,293.3333333333333,2.888888888888889,67.22222222222223,628.3333333333334,113.0
60.0,1,1,325.0,2.7777777777777777,56.52777777777778,548.5555555555555,115.27777777777777
60.0,1,2,296.08641975308643,2.432098765432099,60.96913580246913,471.1358024691358,141.16666666666666
60.0,1,4,309.8992248062016,2.6744186046511627,59.55038759689923,513.2325581395348,135.1860465116279
60.0,1,5,287.8888888888889,2.7777777777777777,73.0,712.4444444444445,146.0
60.0,2,1,318.72727272727275,2.8181818181818183,51.90909090909091,542.1363636363636,123.0909090909091
60.0,2,2,282.2,2.33125,60.625,453.84375,137.05
60.0,2,4,293.3095238095238,2.5952380952380953,59.45238095238095,481.6507936507937,128.02380952380952
60.0,2,5,307.8888888888889,3.0,64.22222222222223,630.8888888888889,140.33333333333334
60.0,3,1,312.0,2.7777777777777777,57.48148148148148,566.8148148148148,111.03703703703704
60.0,3,2,281.87951807228916,2.3674698795180724,60.68674698795181,459.66265060240966,139.46987951807228
60.0,3,4,287.99,2.51,60.89,483.94,131.76
60.0,3,5,268.0,2.0,65.66666666666667,677.3333333333334,139.0
60.0,4,1,318.9259259259259,2.685185185185185,53.888888888888886,536.6851851851852,114.38888888888889
60.0,4,2,287.3245033112583,2.3642384105960264,59.682119205298015,454.78145695364236,137.51655629139074
60.0,4,4,293.991935483871,2.524193548387097,58.524193548387096,478.58870967741933,131.5
60.0,4,5,367.0,3.0,71.0,720.0,93.0
61.0,1,1,321.9111111111111,2.933333333333333,56.51111111111111,558.6222222222223,122.0
61.0,1,2,289.43564356435644,2.4554455445544554,60.71287128712871,471.009900990099,137.16831683168317
61.0,1,4,306.05555555555554,2.753086419753086,61.901234567901234,506.4320987654321,135.5493827160494
61.0,1,5,261.3333333333333,2.9166666666666665,67.91666666666667,671.4166666666666,155.75
61.0,2,1,310.7037037037037,2.6666666666666665,57.55555555555556,544.2962962962963,120.85185185185185
61.0,2,2,287.6938775510204,2.435374149659864,60.64625850340136,463.8707482993197,135.6734693877551
61.0,2,4,299.74626865671644,2.6492537313432836,61.1865671641791,491.5,135.7910447761194
61.0,2,5,275.8,2.8,79.6,548.8,105.6
61.0,3,1,308.95454545454544,2.772727272727273,55.90909090909091,552.4545454545455,113.5909090909091
61.0,3,2,284.5692307692308,2.3615384615384616,61.90769230769231,466.38461538461536,140.2846153846154
61.0,3,4,298.94690265486724,2.601769911504425,61.64601769911504,502.3805309734513,132.06194690265488
61.0,3,5,298.7142857142857,2.7142857142857144,72.0,660.2857142857143,138.57142857142858
61.0,4,1,325.96774193548384,2.967741935483871,57.806451612903224,566.5806451612904,119.45161290322581
61.0,4,2,288.7920792079208,2.5544554455445545,60.81188118811881,487.63366336633663,138.9009900990099
61.0,4,4,298.9389312977099,2.6564885496183206,61.404580152671755,496.48091603053433,134.34351145038167
61.0,4,5,261.0,2.5,60.166666666666664,542.1666666666666,94.83333333333333
62.0,1,1,307.48148148148147,2.8333333333333335,56.74074074074074,544.6481481481482,117.46296296296296
62.0,1,2,287.9375,2.5,62.9625,476.8125,139.025
62.0,1,4,296.5975609756098,2.682926829268293,61.08536585365854,511.6036585365854,132.42073170731706
62.0,1,5,282.8,2.6,72.8,647.2,133.2
62.0,2,1,313.2,2.8,59.57142857142857,555.0571428571428,121.45714285714286
62.0,2,2,292.0990990990991,2.5675675675675675,61.45945945945946,478.7477477477477,137.53153153153153
62.0,2,4,286.2403100775194,2.5736434108527133,60.86046511627907,496.94573643410854,126.43410852713178
62.0,2,5,249.0,2.5714285714285716,68.71428571428571,600.0,153.71428571428572
62.0,3,1,321.9375,2.875,58.5,568.9375,125.84375
62.0,3,2,282.60493827160496,2.5185185185185186,62.39506172839506,481.7901234567901,137.40740740740742
62.0,3,4,290.22297297297297,2.608108108108108,62.5472972972973,501.0337837837838,133.42567567567568
62.0,3,5,237.6,2.4,77.4,562.0,133.0
62.0,4,1,313.7317073170732,2.975609756097561,57.0,569.0243902439024,119.48780487804878
62.0,4,2,284.1467889908257,2.4954128440366974,61.63302752293578,480.1284403669725,136.30275229357798
62.0,4,4,291.7951807228916,2.6144578313253013,60.77710843373494,495.9698795180723,128.31927710843374
62.0,4,5,265.75,2.75,71.0,610.875,133.75
63.0,1,1,311.4186046511628,2.9767441860465116,60.372093023255815,580.3488372093024,121.81395348837209
63.0,1,2,294.02,2.58,63.22,504.06,142.84
63.0,1,4,306.26666666666665,2.762962962962963,62.82962962962963,518.162962962963,139.16296296296295
63.0,1,5,284.7142857142857,2.857142857142857,75.85714285714286,814.7142857142857,164.42857142857142
63.0,2,1,315.74285714285713,3.057142857142857,56.97142857142857,561.3428571428572,123.31428571428572
63.0,2,2,289.9240506329114,2.5316455696202533,63.050632911392405,481.3164556962025,139.29113924050634
63.0,2,4,300.44827586206895,2.7586206896551726,62.11724137931034,515.5379310344828,134.71724137931034
63.0,2,5,326.3333333333333,3.0,68.33333333333333,645.6666666666666,122.66666666666667
63.0,3,1,308.93939393939394,2.909090909090909,58.96969696969697,558.4848484848485,117.15151515151516
63.0,3,2,291.18055555555554,2.6527777777777777,64.72222222222223,501.0,143.38888888888889
63.0,3,4,284.28985507246375,2.652173913043478,63.02173913043478,507.67391304347825,131.3768115942029
63.0,3,5,285.7,2.9,71.8,678.2,137.6
63.0,4,1,306.6326530612245,2.836734693877551,58.38775510204081,565.1836734693877,123.44897959183673
63.0,4,2,300.1774193548387,2.7096774193548385,62.516129032258064,498.51612903225805,143.80645161290323
63.0,4,4,299.5083333333333,2.775,61.05833333333333,510.0083333333333,133.275
63.0,4,5,286.5,3.125,74.625,641.0,134.875
64.0,1,1,312.2,2.9375,61.5,577.4375,118.25
64.0,1,2,282.6458333333333,2.5416666666666665,65.70833333333333,487.0625,142.20833333333334
64.0,1,4,297.9378881987578,2.8322981366459627,64.7639751552795,541.7453416149068,135.09316770186336
64.0,1,5,300.1111111111111,3.2222222222222223,74.55555555555556,793.3333333333334,154.77777777777777
64.0,2,1,320.6744186046512,3.0697674418604652,58.674418604651166,575.1162790697674,121.06976744186046
64.0,2,2,299.8867924528302,2.849056603773585,63.716981132075475,515.1132075471698,140.20754716981133
64.0,2,3,284.0,2.0,62.0,406.0,187.0
64.0,2,4,295.7972027972028,2.8181818181818183,64.26573426573427,535.006993006993,135.55244755244755
64.0,2,5,309.45454545454544,3.272727272727273,71.45454545454545,756.0909090909091,141.9090909090909
64.0,3,1,300.74468085106383,3.021276595744681,59.93617021276596,573.2765957446809,119.02127659574468
64.0,3,2,285.96363636363634,2.690909090909091,63.09090909090909,494.5090909090909,140.36363636363637
64.0,3,4,293.7857142857143,2.74025974025974,64.59740259740259,525.1428571428571,136.36363636363637
64.0,3,5,266.2,2.9,75.0,691.3,149.8
64.0,4,1,311.92424242424244,2.984848484848485,61.303030303030305,588.6363636363636,120.81818181818181
64.0,4,2,290.1694915254237,2.6610169491525424,64.37288135593221,498.22033898305085,142.8135593220339
64.0,4,4,305.26666666666665,2.890909090909091,62.375757575757575,523.6121212121212,130.87878787878788
64.0,4,5,236.4,2.6,62.4,704.0,156.6
65.0,1,1,306.9866666666667,2.9066666666666667,61.84,573.5733333333334,118.58666666666667
65.0,1,2,303.71875,2.6875,65.40625,517.65625,148.125
65.0,1,4,299.47712418300654,2.8823529411764706,64.60130718954248,539.3071895424837,134.55555555555554
65.0,1,5,334.0,3.6,74.6,817.8,150.6
65.0,2,1,312.6,3.08,59.72,572.1,120.04
65.0,2,2,289.77777777777777,2.5833333333333335,64.47222222222223,485.1388888888889,133.63888888888889
65.0,2,4,295.4189189189189,2.8513513513513513,64.10810810810811,523.9121621621622,135.91216216216216
65.0,2,5,300.125,3.375,78.625,669.5,126.625
65.0,3,1,309.4468085106383,3.0,61.170212765957444,602.2553191489362,123.61702127659575
65.0,3,2,295.26190476190476,2.7142857142857144,67.47619047619048,530.0714285714286,146.11904761904762
65.0,3,3,462.0,3.0,40.0,711.0,151.0
65.0,3,4,291.15384615384613,2.8615384615384616,66.81538461538462,535.9538461538461,134.53076923076924
65.0,3,5,285.4,3.0,77.2,733.8,121.2
65.0,4,1,308.9047619047619,3.0952380952380953,60.476190476190474,586.6031746031746,120.80952380952381
65.0,4,2,304.3529411764706,2.7941176470588234,64.08823529411765,526.7058823529412,143.08823529411765
65.0,4,4,306.9642857142857,2.892857142857143,63.635714285714286,536.75,136.02857142857144
65.0,4,5,279.14285714285717,3.0,73.14285714285714,658.0,128.42857142857142
66.0,1,1,306.9156626506024,3.0602409638554215,61.506024096385545,586.277108433735,122.46987951807229
66.0,1,2,297.0,2.8333333333333335,67.73333333333333,531.6666666666666,146.26666666666668
66.0,1,4,291.7032258064516,2.8193548387096774,66.69032258064516,538.3548387096774,133.36129032258066
66.0,1,5,223.83333333333334,2.5,79.16666666666667,608.3333333333334,136.33333333333334
66.0,2,1,321.2391304347826,3.1956521739130435,62.891304347826086,607.5217391304348,125.6086956521739
66.0,2,2,284.1290322580645,2.5806451612903225,65.54838709677419,509.83870967741933,137.80645161290323
66.0,2,4,297.63398692810455,2.895424836601307,64.07843137254902,537.0392156862745,135.98692810457516
66.0,2,5,219.0,2.0,65.0,483.5,84.5
66.0,3,1,306.46153846153845,3.0923076923076924,61.58461538461538,595.4,123.75384615384615
66.0,3,2,277.8,2.55,65.45,476.45,136.7
66.0,3,4,291.01307189542484,2.849673202614379,65.14379084967321,532.8692810457517,135.01960784313727
66.0,3,5,259.0,3.0,57.0,599.5,128.5
66.0,4,1,317.3855421686747,3.144578313253012,62.18072289156626,603.7590361445783,126.62650602409639
66.0,4,2,297.6190476190476,2.8095238095238093,66.0,549.7619047619048,146.33333333333334
66.0,4,4,293.47435897435895,2.858974358974359,64.36538461538461,528.0192307692307,133.97435897435898
66.0,4,5,246.33333333333334,2.6666666666666665,68.33333333333333,812.6666666666666,138.0
67.0,1,1,311.03370786516854,3.168539325842697,64.01123595505618,604.2696629213483,124.21348314606742
67.0,1,2,282.4166666666667,2.75,68.75,504.0,145.75
67.0,1,4,296.7549668874172,2.9139072847682117,66.19867549668874,554.2317880794702,135.94039735099338
67.0,1,5,238.33333333333334,3.0,74.66666666666667,670.1666666666666,141.83333333333334
67.0,2,1,312.4927536231884,3.1739130434782608,62.47826086956522,602.9130434782609,124.14492753623189
67.0,2,2,294.82758620689657,2.8275862068965516,67.06896551724138,508.7931034482759,145.79310344827587
67.0,2,4,290.172131147541,2.8852459016393444,65.17213114754098,531.2459016393443,137.4672131147541
67.0,2,5,252.4,2.8,83.6,733.2,153.4
67.0,3,1,309.3285714285714,3.1857142857142855,63.92857142857143,604.9142857142857,125.2
67.0,3,2,288.2173913043478,2.782608695652174,69.08695652173913,519.8260869565217,152.3913043478261
67.0,3,4,293.11764705882354,2.9281045751633985,67.16993464052288,560.9150326797386,137.84967320261438
67.0,3,5,312.3333333333333,3.3333333333333335,78.33333333333333,724.3333333333334,141.33333333333334
67.0,4,1,311.0470588235294,3.176470588235294,62.76470588235294,601.9764705882353,123.56470588235294
67.0,4,2,276.3333333333333,2.8,65.93333333333334,537.3333333333334,142.26666666666668
67.0,4,3,226.0,2.0,56.0,479.0,91.0
67.0,4,4,283.41007194244605,2.884892086330935,64.67625899280576,536.3309352517986,131.28776978417267
67.0,4,5,221.0,2.0,67.0,448.0,85.0
68.0,1,1,324.05434782608694,3.3152173913043477,64.93478260869566,628.7717391304348,133.79347826086956
68.0,1,2,297.0,2.857142857142857,66.85714285714286,543.3571428571429,143.5
68.0,1,4,281.0295857988166,2.7810650887573964,67.49704142011835,535.6508875739645,133.5207100591716
68.0,1,5,263.0,2.888888888888889,81.88888888888889,720.1111111111111,141.0
68.0,2,1,315.29487179487177,3.2948717948717947,63.782051282051285,618.2820512820513,126.37179487179488
68.0,2,2,283.15,2.8,68.7,532.95,145.3
68.0,2,4,292.33112582781456,2.980132450331126,66.82781456953643,563.7086092715232,132.91390728476821
68.0,2,5,297.3333333333333,3.0,66.33333333333333,682.3333333333334,93.0
68.0,3,1,308.4418604651163,3.1627906976744184,65.0813953488372,608.5813953488372,125.53488372093024
68.0,3,2,290.46153846153845,2.8461538461538463,70.23076923076923,536.7692307692307,147.84615384615384
68.0,3,4,282.7100591715976,2.834319526627219,68.19526627218934,542.6153846153846,133.4023668639053
68.0,3,5,263.2857142857143,2.857142857142857,83.0,632.0,148.14285714285714
68.0,4,1,307.4343434343434,3.191919191919192,62.98989898989899,609.5454545454545,124.51515151515152
68.0,4,2,298.92857142857144,2.857142857142857,64.28571428571429,544.6428571428571,129.78571428571428
68.0,4,4,292.8466666666667,2.966666666666667,65.82,558.26,135.64666666666668
68.0,4,5,253.0,2.6666666666666665,81.88888888888889,643.3333333333334,129.33333333333334
69.0,1,1,311.83,3.25,65.79,632.81,129.22
69.0,1,2,288.7692307692308,2.8461538461538463,70.92307692307692,543.8461538461538,157.3846153846154
69.0,1,4,295.0,3.0492957746478875,68.97183098591549,569.2464788732394,136.92253521126761
69.0,1,5,306.0,3.75,65.5,758.0,170.25
69.0,2,1,301.1159420289855,3.130434782608696,64.40579710144928,612.3478260869565,125.21739130434783
69.0,2,2,288.875,2.875,68.625,513.125,144.625
69.0,2,4,285.1951219512195,2.983739837398374,67.29268292682927,558.3739837398374,133.4959349593496
69.0,2,5,256.5,3.0,94.0,543.0,101.0
69.0,3,1,301.3333333333333,3.218390804597701,65.29885057471265,621.2758620689655,123.72413793103448
69.0,3,2,274.5,2.8,69.2,564.0,140.9
69.0,3,4,287.6,3.024,69.632,565.272,134.952
69.0,3,5,230.75,2.5,75.75,666.25,136.25
69.0,4,1,317.05555555555554,3.2444444444444445,64.87777777777778,623.8222222222222,128.5222222222222
69.0,4,2,282.75,2.875,70.375,542.375,144.0
69.0,4,4,296.33561643835617,3.0205479452054793,68.02739726027397,556.3698630136986,134.3082191780822
69.0,4,5,241.6,2.8,75.8,661.8,145.2
70.0,1,1,311.6380952380952,3.276190476190476,65.75238095238095,637.7333333333333,128.11428571428573
70.0,1,2,289.75,3.375,72.25,569.375,147.875
70.0,1,4,288.8421052631579,3.026315789473684,69.40350877192982,582.9561403508771,136.30701754385964
70.0,1,5,251.66666666666666,3.0,74.0,752.6666666666666,178.33333333333334
70.0,2,1,309.8333333333333,3.3020833333333335,64.70833333333333,624.96875,125.07291666666667
70.0,2,2,297.8333333333333,3.0,76.0,609.3333333333334,141.5
70.0,2,4,296.2116788321168,3.1386861313868613,67.43065693430657,581.4233576642335,137.1021897810219
70.0,2,5,279.6,3.4,70.8,613.2,149.2
70.0,3,1,301.4404761904762,3.238095238095238,66.25,624.5,130.11904761904762
70.0,3,2,282.625,2.875,72.25,536.125,156.625
70.0,3,4,281.11764705882354,3.0,69.46218487394958,570.4621848739496,138.32773109243698
70.0,3,5,234.66666666666666,3.0,76.66666666666667,575.6666666666666,132.66666666666666
70.0,4,1,303.3693693693694,3.3333333333333335,65.04504504504504,626.1711711711712,127.74774774774775
70.0,4,2,279.6666666666667,2.9166666666666665,67.0,559.8333333333334,146.83333333333334
70.0,4,4,288.73846153846154,3.0384615384615383,68.25384615384615,563.8538461538461,136.8153846153846
70.0,4,5,248.33333333333334,2.6666666666666665,85.5,636.6666666666666,132.83333333333334
71.0,1,1,314.1344537815126,3.3781512605042017,67.78991596638656,650.546218487395,131.8235294117647
71.0,1,2,277.8333333333333,3.0,72.66666666666667,577.3333333333334,140.66666666666666
71.0,1,4,296.1393442622951,3.237704918032787,70.18852459016394,603.9344262295082,137.45901639344262
71.0,1,5,237.625,2.625,78.75,618.625,121.5
71.0,2,1,310.77319587628864,3.3402061855670104,67.09278350515464,647.8350515463917,132.1340206185567
71.0,2,2,283.375,3.125,68.375,585.625,142.0
71.0,2,4,284.86507936507934,3.0634920634920637,68.54761904761905,562.6507936507936,132.4047619047619
71.0,2,5,331.0,4.0,96.0,749.0,115.0
71.0,3,1,315.4875,3.3375,66.35,647.3625,130.1125
71.0,3,2,259.3333333333333,2.6666666666666665,62.666666666666664,580.6666666666666,139.66666666666666
71.0,3,4,287.0736842105263,3.0631578947368423,69.08421052631579,576.7684210526315,132.6
71.0,3,5,230.8,2.6,73.6,562.8,116.4
71.0,4,1,317.5963302752294,3.4954128440366974,65.5137614678899,640.4036697247707,128.62385321100916
71.0,4,2,283.6666666666667,2.6666666666666665,65.66666666666667,536.0,139.16666666666666
71.0,4,4,292.5772357723577,3.113821138211382,69.63414634146342,570.1544715447154,136.33333333333334
71.0,4,5,272.7142857142857,2.857142857142857,84.85714285714286,601.5714285714286,116.0
72.0,1,1,314.81904761904764,3.552380952380952,67.67619047619047,657.5619047619048,132.6
72.0,1,2,276.3333333333333,3.0,70.66666666666667,551.6666666666666,133.66666666666666
72.0,1,4,293.0681818181818,3.0833333333333335,70.93181818181819,598.8712121212121,140.5909090909091
72.0,1,5,254.875,3.125,75.125,724.5,151.125
72.0,2,1,304.6407766990291,3.407766990291262,67.48543689320388,645.8932038834952,128.5242718446602
72.0,2,2,336.5,3.75,64.0,600.0,139.75
72.0,2,4,281.88235294117646,3.0672268907563027,70.26050420168067,570.9159663865546,135.67226890756302
72.0,2,5,262.8333333333333,3.1666666666666665,74.5,625.3333333333334,117.83333333333333
72.0,3,1,302.24242424242425,3.3636363636363638,68.97979797979798,655.6565656565657,128.97979797979798
72.0,3,2,312.2857142857143,3.142857142857143,74.14285714285714,588.1428571428571,163.0
72.0,3,3,367.0,4.0,79.0,685.0,112.0
72.0,3,4,275.9423076923077,2.9711538461538463,71.45192307692308,580.625,133.20192307692307
72.0,3,5,255.71428571428572,2.7142857142857144,76.14285714285714,802.7142857142857,165.42857142857142
72.0,4,1,312.4909090909091,3.5,66.83636363636364,652.0636363636364,129.8
72.0,4,2,323.2,3.4,68.4,590.8,141.0
72.0,4,4,291.1937984496124,3.147286821705426,70.50387596899225,578.6279069767442,133.69767441860466
72.0,4,5,244.75,3.25,76.25,614.0,135.75
73.0,1,1,315.294964028777,3.5467625899280577,68.86330935251799,663.5179856115108,134.38129496402877
73.0,1,2,316.0,3.5,73.25,674.0,158.75
73.0,1,4,287.0265486725664,3.1150442477876106,71.97345132743362,591.3008849557522,140.94690265486724
73.0,1,5,247.6,2.8,73.0,655.2,116.6
73.0,2,1,309.87628865979383,3.4742268041237114,68.37113402061856,661.680412371134,128.84536082474227
73.0,2,2,326.5,3.75,72.25,663.25,156.5
73.0,2,4,293.9887640449438,3.303370786516854,71.33707865168539,621.3483146067416,137.58426966292134
73.0,2,5,330.3333333333333,3.6666666666666665,75.33333333333333,781.6666666666666,151.33333333333334
73.0,3,1,306.25555555555553,3.4444444444444446,70.95555555555555,658.6888888888889,132.07777777777778
73.0,3,2,296.6666666666667,3.3333333333333335,75.66666666666667,589.3333333333334,155.0
73.0,3,4,280.09090909090907,3.0795454545454546,72.47727272727273,596.0909090909091,137.52272727272728
73.0,3,5,208.0,2.8333333333333335,70.83333333333333,636.5,134.33333333333334
73.0,4,1,322.44144144144144,3.5945945945945947,65.86486486486487,646.0900900900901,134.00900900900902
73.0,4,2,295.0,3.0,73.0,626.0,147.5
73.0,4,4,295.1578947368421,3.2982456140350878,70.41228070175438,596.0350877192982,134.7280701754386
73.0,4,5,259.0,3.0,69.0,615.3333333333334,92.0
74.0,1,1,314.6842105263158,3.6165413533834587,70.04511278195488,676.2255639097745,134.0751879699248
74.0,1,2,292.3333333333333,3.0,70.66666666666667,539.3333333333334,165.0
74.0,1,4,277.3917525773196,3.195876288659794,74.43298969072166,593.9587628865979,135.8041237113402
74.0,1,5,222.2,2.6,75.4,567.0,113.2
74.0,2,1,314.4065934065934,3.5934065934065935,68.14285714285714,676.7472527472528,130.87912087912088
74.0,2,2,274.0,3.0,64.0,644.0,128.0
74.0,2,4,282.14285714285717,3.197802197802198,70.93406593406593,601.5054945054945,134.03296703296704
74.0,2,5,267.0,3.0,99.0,602.0,126.0
74.0,3,1,305.5,3.5208333333333335,68.83333333333333,676.2395833333334,132.4375
74.0,3,2,157.0,2.0,64.0,354.0,85.0
74.0,3,3,451.0,5.0,78.0,830.0,189.0
74.0,3,4,278.3873873873874,3.1981981981981984,72.2072072072072,592.972972972973,133.11711711711712
74.0,4,1,311.6190476190476,3.5297619047619047,69.31547619047619,669.3809523809524,133.88095238095238
74.0,4,2,269.2,3.0,67.8,532.2,132.8
74.0,4,4,280.0165289256198,3.115702479338843,70.63636363636364,563.3719008264463,130.1818181818182
74.0,4,5,295.3333333333333,3.0,64.66666666666667,747.0,127.0
75.0,1,1,314.59090909090907,3.642857142857143,71.1948051948052,682.4480519480519,138.7207792207792
75.0,1,4,281.02061855670104,3.2783505154639174,72.83505154639175,601.5979381443299,136.8762886597938
75.0,1,5,219.75,3.0,86.25,677.0,140.0
75.0,2,1,317.9741379310345,3.646551724137931,69.38793103448276,671.9568965517242,134.2155172413793
75.0,2,2,266.5,3.0,85.0,592.0,130.5
75.0,2,4,292.53333333333336,3.388888888888889,71.86666666666666,629.7333333333333,135.17777777777778
75.0,2,5,323.0,4.0,79.0,762.0,139.0
75.0,3,1,302.52127659574467,3.5,69.95744680851064,675.4787234042553,133.7659574468085
75.0,3,2,274.6666666666667,2.6666666666666665,75.0,487.3333333333333,131.33333333333334
75.0,3,4,282.98936170212767,3.24468085106383,72.64893617021276,603.3829787234042,135.80851063829786
75.0,3,5,287.5,3.0,92.0,737.0,103.5
75.0,4,1,314.0191082802548,3.656050955414013,68.92356687898089,668.8471337579617,138.86624203821657
75.0,4,2,368.0,4.0,75.0,907.0,117.0
75.0,4,3,288.0,3.0,62.0,372.0,134.0
75.0,4,4,270.5208333333333,3.1145833333333335,71.60416666666667,593.7708333333334,133.42708333333334
75.0,4,5,238.0,3.0,81.0,759.0,135.5
76.0,1,1,313.38157894736844,3.723684210526316,71.34210526315789,688.6447368421053,138.26973684210526
76.0,1,2,292.0,3.0,88.0,587.0,181.0
76.0,1,4,289.1458333333333,3.3333333333333335,73.79166666666667,628.9583333333334,139.02083333333334
76.0,1,5,234.5,3.0,81.5,656.0,130.0
76.0,2,1,315.9549549549549,3.675675675675676,71.84684684684684,681.2702702702703,136.7927927927928
76.0,2,2,301.0,4.0,74.0,658.0,155.0
76.0,2,4,272.5903614457831,3.1927710843373496,73.18072289156626,589.7951807228916,136.6144578313253
76.0,2,5,369.5,6.0,81.0,889.0,145.5
76.0,3,1,306.58088235294116,3.6691176470588234,72.00735294117646,691.5514705882352,134.40441176470588
76.0,3,2,313.0,4.0,83.0,919.0,141.0
76.0,3,4,284.8837209302326,3.2906976744186047,73.26744186046511,626.7906976744187,133.97674418604652
76.0,3,5,259.2,3.4,72.0,780.4,159.4
76.0,4,1,319.1,3.7785714285714285,69.85,684.9428571428572,136.15
