AverageFloorArea,Quarter,Property Type,EnergyUseAveragePerDwelling,LightingCostAveragePerDwelling,HeatingCostAveragePerDwelling,HotWaterCostAveragePerDwelling
48.0,4,3,134.0,42.0,139.0,62.0
48.0,4,4,129.33333333333334,44.111111111111114,218.33333333333334,79.83333333333333
49.0,1,1,143.64705882352942,38.76470588235294,213.8235294117647,77.52941176470588
49.0,1,2,163.07692307692307,42.10769230769231,245.41538461538462,113.95384615384616
49.0,1,3,150.5,67.0,265.5,94.5
49.0,1,4,130.83333333333334,42.22222222222222,206.77777777777777,86.66666666666667
49.0,2,1,128.875,41.375,260.125,89.0
49.0,2,2,155.14634146341464,39.36585365853659,240.6951219512195,102.96341463414635
49.0,2,4,133.0,41.1764705882353,210.47058823529412,79.29411764705883
49.0,3,1,159.66666666666666,40.333333333333336,266.75,92.41666666666667
49.0,3,2,155.135593220339,40.898305084745765,237.16949152542372,100.84745762711864
49.0,3,4,163.0909090909091,45.54545454545455,272.90909090909093,88.54545454545455
49.0,4,1,127.88888888888889,38.55555555555556,189.11111111111111,69.44444444444444
49.0,4,2,154.9607843137255,41.64705882352941,228.41176470588235,113.70588235294117
49.0,4,3,120.5,87.5,219.0,79.5
49.0,4,4,118.0,40.375,190.1875,68.4375
50.0,1,1,145.86666666666667,39.2,248.86666666666667,71.26666666666667
50.0,1,2,153.73958333333334,43.614583333333336,239.59375,101.32291666666667
50.0,1,3,119.0,63.5,287.0,91.75
50.0,1,4,126.78260869565217,46.08695652173913,230.2173913043478,78.82608695652173
50.0,2,1,144.46666666666667,37.13333333333333,252.93333333333334,87.26666666666667
50.0,2,2,150.8048780487805,40.75609756097561,231.0121951219512,101.1829268292683
50.0,2,3,228.0,42.0,289.0,68.0
50.0,2,4,150.7,43.95,269.15,91.05
50.0,3,1,144.1875,39.5,240.8125,95.625
50.0,3,2,152.9875,41.55,228.3375,107.4875
50.0,3,3,152.0,52.0,273.0,66.0
50.0,3,4,120.21739130434783,42.43478260869565,205.43478260869566,76.47826086956522
50.0,4,1,156.55555555555554,37.333333333333336,242.77777777777777,90.11111111111111
50.0,4,2,146.05263157894737,42.17894736842105,228.81052631578947,97.10526315789474
50.0,4,3,137.0,46.5,156.0,59.5
50.0,4,4,147.12,50.0,235.44,93.56
51.0,1,1,156.0,43.75,279.0,88.58333333333333
51.0,1,2,145.88297872340425,43.52127659574468,234.81914893617022,107.43617021276596
51.0,1,3,128.75,65.25,230.25,80.25
51.0,1,4,117.57894736842105,42.421052631578945,204.10526315789474,82.42105263157895
51.0,2,1,145.27272727272728,39.63636363636363,250.45454545454547,100.18181818181819
51.0,2,2,146.3956043956044,42.26373626373626,226.14285714285714,103.64835164835165
51.0,2,3,133.0,69.0,262.0,91.0
51.0,2,4,109.24137931034483,44.758620689655174,195.0344827586207,66.89655172413794
51.0,3,1,140.28571428571428,39.714285714285715,215.28571428571428,89.57142857142857
51.0,3,2,150.85393258426967,42.168539325842694,233.6067415730337,106.12359550561797
51.0,3,3,119.0,86.0,351.0,89.0
51.0,3,4,121.29166666666667,45.25,211.33333333333334,78.58333333333333
51.0,4,1,146.4,38.1,230.8,105.2
51.0,4,2,151.64444444444445,43.044444444444444,235.32222222222222,102.77777777777777
51.0,4,3,133.14285714285714,64.71428571428571,252.14285714285714,85.71428571428571
51.0,4,4,132.22222222222223,47.22222222222222,236.0,85.33333333333333
52.0,1,1,160.0,40.642857142857146,280.07142857142856,98.5
52.0,1,2,144.944,43.016,235.024,100.88
52.0,1,3,136.0,66.0,246.5,79.5
52.0,1,4,133.7674418604651,46.48837209302326,232.62790697674419,87.53488372093024
52.0,2,1,154.0,39.526315789473685,270.7368421052632,80.6842105263158
52.0,2,2,147.07608695652175,42.04347826086956,234.29347826086956,102.84782608695652
52.0,2,3,139.0,45.0,187.0,71.0
52.0,2,4,115.8529411764706,42.88235294117647,204.1764705882353,84.6470588235294
52.0,3,1,137.68421052631578,41.73684210526316,226.10526315789474,88.15789473684211
52.0,3,2,148.18279569892474,44.053763440860216,227.20430107526883,111.9247311827957
52.0,3,4,113.10344827586206,44.41379310344828,185.89655172413794,79.13793103448276
52.0,4,1,154.0,41.4,245.4,84.8
52.0,4,2,139.39,42.71,223.31,100.45
52.0,4,3,147.83333333333334,61.166666666666664,216.66666666666666,77.5
52.0,4,4,112.94736842105263,41.28947368421053,196.92105263157896,74.10526315789474
53.0,1,1,146.30769230769232,38.07692307692308,260.2307692307692,87.76923076923077
53.0,1,2,141.48760330578511,42.917355371900825,236.13223140495867,108.28099173553719
53.0,1,3,116.5,90.5,277.0,95.0
53.0,1,4,123.23809523809524,46.42857142857143,247.76190476190476,83.23809523809524
53.0,2,1,119.6,38.13333333333333,234.86666666666667,72.66666666666667
53.0,2,2,141.65217391304347,43.469565217391306,220.34782608695653,99.88695652173914
53.0,2,3,116.0,58.0,270.5,79.5
53.0,2,4,129.11764705882354,44.35294117647059,229.76470588235293,78.23529411764706
53.0,3,1,139.05555555555554,40.44444444444444,245.05555555555554,87.77777777777777
53.0,3,2,144.76767676767676,43.14141414141414,228.34343434343435,104.58585858585859
53.0,3,4,102.47058823529412,45.411764705882355,196.8235294117647,71.88235294117646
53.0,4,1,131.86666666666667,43.4,256.46666666666664,79.13333333333334
53.0,4,2,138.68965517241378,42.68103448275862,226.27586206896552,99.73275862068965
53.0,4,3,128.0,62.5,223.25,96.75
53.0,4,4,130.70833333333334,44.5,217.875,93.75
54.0,1,1,138.23076923076923,41.23076923076923,254.84615384615384,85.84615384615384
54.0,1,2,143.83064516129033,44.45967741935484,249.09677419354838,101.19354838709677
54.0,1,3,128.8,65.4,255.6,87.2
54.0,1,4,115.07407407407408,45.592592592592595,234.92592592592592,75.81481481481481
54.0,2,1,142.69230769230768,41.53846153846154,247.6153846153846,81.61538461538461
54.0,2,2,139.97560975609755,43.78861788617886,231.8780487804878,104.99186991869918
54.0,2,4,110.30952380952381,47.5,214.33333333333334,73.92857142857143
54.0,3,1,143.4,40.8,225.1,90.2
54.0,3,2,137.64754098360655,44.5655737704918,233.81147540983608,103.69672131147541
54.0,3,3,135.0,48.0,196.0,78.0
54.0,3,4,99.1875,47.6875,204.78125,77.34375
54.0,4,1,136.92307692307693,40.30769230769231,243.65384615384616,78.42307692307692
54.0,4,2,140.15942028985506,43.79710144927536,225.57971014492753,104.6159420289855
54.0,4,3,130.2,62.0,239.4,85.0
54.0,4,4,114.37142857142857,45.57142857142857,201.62857142857143,75.62857142857143
55.0,1,1,130.35,40.6,244.3,75.25
55.0,1,2,137.55944055944056,44.23076923076923,235.75524475524475,104.8041958041958
55.0,1,3,130.75,76.0,260.0,101.25
55.0,1,4,110.17241379310344,48.724137931034484,205.13793103448276,71.34482758620689
55.0,2,1,169.69230769230768,40.46153846153846,258.15384615384613,93.38461538461539
55.0,2,2,139.78358208955223,44.492537313432834,232.61194029850745,103.90298507462687
55.0,2,3,117.5,48.5,226.0,91.0
55.0,2,4,132.0,51.86363636363637,235.9090909090909,83.9090909090909
55.0,3,1,156.5,42.583333333333336,256.8333333333333,99.66666666666667
55.0,3,2,135.47407407407408,44.422222222222224,229.94074074074075,103.13333333333334
55.0,3,4,128.68421052631578,46.36842105263158,237.31578947368422,89.10526315789474
55.0,4,1,139.0,41.083333333333336,249.0,86.66666666666667
55.0,4,2,137.7357142857143,44.72142857142857,236.3357142857143,101.13571428571429
55.0,4,3,139.5,71.0,250.0,87.0
55.0,4,4,127.42857142857143,45.61904761904762,237.47619047619048,79.88095238095238
56.0,1,1,129.06451612903226,40.38709677419355,247.2258064516129,95.70967741935483
56.0,1,2,137.78443113772454,45.68862275449102,230.99401197604791,110.95808383233533
56.0,1,3,114.66666666666667,63.0,234.0,78.33333333333333
56.0,1,4,114.48780487804878,50.292682926829265,219.58536585365854,78.85365853658537
56.0,2,1,150.14285714285714,42.0,263.57142857142856,88.9047619047619
56.0,2,2,135.11180124223603,45.57142857142857,229.88198757763976,100.61490683229813
56.0,2,3,138.0,61.5,261.0,75.5
56.0,2,4,108.86206896551724,47.89655172413793,207.0344827586207,72.48275862068965
56.0,3,1,133.9090909090909,43.63636363636363,246.0909090909091,89.4090909090909
56.0,3,2,145.57142857142858,46.56521739130435,242.56521739130434,107.57142857142857
56.0,3,4,123.87096774193549,48.064516129032256,229.7741935483871,81.38709677419355
56.0,4,1,140.30769230769232,41.46153846153846,242.73076923076923,81.88461538461539
56.0,4,2,140.59259259259258,45.70987654320987,229.70987654320987,107.55555555555556
56.0,4,3,136.5,61.75,215.625,78.875
56.0,4,4,118.4390243902439,52.926829268292686,221.26829268292684,82.78048780487805
57.0,1,1,111.64285714285714,44.357142857142854,229.28571428571428,74.35714285714286
57.0,1,2,132.98757763975155,45.52795031055901,233.8944099378882,102.98136645962732
57.0,1,3,131.66666666666666,74.0,256.6666666666667,87.66666666666667
57.0,1,4,128.4375,49.75,236.375,94.0625
57.0,2,1,126.78260869565217,41.52173913043478,231.0,82.91304347826087
57.0,2,2,132.75,46.41279069767442,224.9127906976744,99.40697674418605
57.0,2,3,144.0,62.0,231.0,86.5
57.0,2,4,125.26086956521739,46.78260869565217,241.17391304347825,78.82608695652173
57.0,3,1,130.47826086956522,41.130434782608695,255.56521739130434,80.08695652173913
57.0,3,2,140.07874015748033,46.37795275590551,237.69291338582678,105.66929133858268
57.0,3,4,131.0344827586207,49.62068965517241,247.20689655172413,88.3103448275862
57.0,4,1,134.39285714285714,40.07142857142857,243.42857142857142,76.17857142857143
57.0,4,2,131.49411764705883,46.12352941176471,229.61176470588236,106.7764705882353
57.0,4,3,115.5,56.25,250.0,75.25
57.0,4,4,125.56410256410257,46.51282051282051,242.87179487179486,84.46153846153847
58.0,1,1,124.78048780487805,44.1219512195122,243.70731707317074,81.41463414634147
58.0,1,2,127.44808743169399,46.666666666666664,224.73224043715848,104.36612021857924
58.0,1,3,147.66666666666666,64.66666666666667,244.33333333333334,85.66666666666667
58.0,1,4,118.63888888888889,51.666666666666664,235.22222222222223,83.58333333333333
58.0,2,1,152.53333333333333,41.6,277.8666666666667,90.33333333333333
58.0,2,2,129.05555555555554,46.401234567901234,232.4320987654321,98.95061728395062
58.0,2,3,133.0,50.0,175.0,58.0
58.0,2,4,115.70588235294117,49.61764705882353,237.2058823529412,77.32352941176471
58.0,3,1,134.28947368421052,43.421052631578945,252.44736842105263,90.73684210526316
58.0,3,2,140.47169811320754,46.35220125786164,243.0251572327044,109.73584905660377
58.0,3,3,112.0,61.0,302.0,94.0
58.0,3,4,130.90625,51.15625,255.21875,85.6875
58.0,4,1,129.71428571428572,42.42857142857143,242.14285714285714,74.17857142857143
58.0,4,2,132.92485549132948,46.31791907514451,233.11560693641619,107.29479768786128
58.0,4,3,133.5,61.666666666666664,216.16666666666666,80.33333333333333
58.0,4,4,129.21052631578948,50.76315789473684,243.3684210526316,87.78947368421052
59.0,1,1,118.32142857142857,43.82142857142857,247.25,77.53571428571429
59.0,1,2,127.05978260869566,46.125,230.7554347826087,103.54347826086956
59.0,1,3,126.2,69.2,266.2,89.2
59.0,1,4,123.16666666666667,50.125,237.08333333333334,84.0
59.0,2,1,130.03333333333333,44.733333333333334,242.53333333333333,87.23333333333333
59.0,2,2,123.27380952380952,46.67857142857143,216.2797619047619,99.77380952380952
59.0,2,4,121.03333333333333,48.8,252.13333333333333,89.03333333333333
59.0,3,1,120.96551724137932,44.86206896551724,246.68965517241378,84.24137931034483
59.0,3,2,125.8896103896104,47.13636363636363,218.66883116883116,103.53246753246754
59.0,3,4,105.27777777777777,50.388888888888886,219.66666666666666,79.94444444444444
59.0,4,1,128.28571428571428,44.464285714285715,244.60714285714286,77.75
59.0,4,2,126.4627659574468,46.191489361702125,231.6755319148936,103.05851063829788
59.0,4,3,136.0909090909091,68.18181818181819,242.36363636363637,85.36363636363636
59.0,4,4,137.14285714285714,48.523809523809526,273.14285714285717,89.85714285714286
60.0,1,1,119.41025641025641,44.48717948717949,245.84615384615384,90.94871794871794
60.0,1,2,124.33879781420765,47.59016393442623,226.4808743169399,106.97814207650273
60.0,1,3,132.2,76.2,268.6,105.2
60.0,1,4,129.36666666666667,53.56666666666667,266.26666666666665,101.73333333333333
60.0,2,1,132.05555555555554,45.916666666666664,245.69444444444446,87.19444444444444
60.0,2,2,123.2012987012987,47.81818181818182,229.55194805194805,99.3051948051948
60.0,2,3,112.0,68.0,230.0,66.0
60.0,2,4,118.41379310344827,48.275862068965516,242.17241379310346,75.89655172413794
60.0,3,1,119.53061224489795,46.285714285714285,243.55102040816325,83.42857142857143
60.0,3,2,120.48314606741573,47.79775280898876,224.74157303370785,98.57303370786516
60.0,3,3,122.0,61.0,248.0,73.0
60.0,3,4,127.93103448275862,50.689655172413794,265.37931034482756,83.93103448275862
60.0,4,1,122.52380952380952,45.666666666666664,255.88095238095238,88.30952380952381
60.0,4,2,124.78651685393258,47.60674157303371,225.87640449438203,99.07865168539325
60.0,4,3,133.33333333333334,71.0,256.6666666666667,81.33333333333333
60.0,4,4,119.5945945945946,48.83783783783784,230.45945945945945,85.97297297297297
61.0,1,1,114.94285714285714,48.17142857142857,233.28571428571428,83.8
61.0,1,2,121.125,47.92857142857143,225.5595238095238,101.54761904761905
61.0,1,3,126.25,73.5,249.25,86.25
61.0,1,4,117.0,52.78125,242.375,82.28125
61.0,2,1,112.26315789473684,41.421052631578945,240.94736842105263,79.89473684210526
61.0,2,2,123.66666666666667,48.333333333333336,229.22448979591837,104.33333333333333
61.0,2,3,119.0,50.5,236.5,81.5
61.0,2,4,136.66666666666666,55.208333333333336,278.375,94.95833333333333
61.0,3,1,127.44827586206897,46.86206896551724,260.0689655172414,85.62068965517241
61.0,3,2,118.02666666666667,48.50666666666667,224.69333333333333,102.07333333333334
61.0,3,3,114.0,50.5,253.5,84.5
61.0,3,4,113.88888888888889,52.74074074074074,234.2962962962963,85.37037037037037
61.0,4,1,109.77142857142857,43.0,231.71428571428572,77.74285714285715
61.0,4,2,119.38372093023256,48.598837209302324,220.83139534883722,104.11046511627907
61.0,4,3,132.0,62.333333333333336,231.33333333333334,97.33333333333333
61.0,4,4,115.37931034482759,50.3448275862069,233.93103448275863,80.48275862068965
62.0,1,1,127.6046511627907,49.23255813953488,256.5581395348837,93.13953488372093
62.0,1,2,121.87662337662337,49.02597402597402,233.4935064935065,109.50649350649351
62.0,1,3,134.25,59.25,243.25,89.25
62.0,1,4,123.15384615384616,51.61538461538461,264.84615384615387,83.46153846153847
62.0,2,1,123.25641025641026,45.94871794871795,261.4102564102564,91.84615384615384
62.0,2,2,122.29239766081871,48.26315789473684,228.4561403508772,102.57894736842105
62.0,2,3,108.0,54.5,244.5,77.5
62.0,2,4,121.0,50.89473684210526,230.94736842105263,96.86842105263158
62.0,3,1,134.96774193548387,46.225806451612904,258.8709677419355,107.16129032258064
62.0,3,2,125.57046979865771,48.23489932885906,229.3288590604027,109.81208053691275
62.0,3,3,120.0,62.5,297.5,89.5
62.0,3,4,121.6,50.7,240.73333333333332,87.83333333333333
62.0,4,1,127.8695652173913,44.84782608695652,238.45652173913044,94.34782608695652
62.0,4,2,119.01169590643275,47.853801169590646,233.43859649122808,102.35672514619883
62.0,4,3,140.28571428571428,56.857142857142854,235.0,77.28571428571429
62.0,4,4,123.82758620689656,53.48275862068966,246.27586206896552,92.10344827586206
63.0,1,1,111.06,46.14,239.22,88.22
63.0,1,2,122.10457516339869,50.30718954248366,235.3986928104575,104.51633986928104
63.0,1,3,116.4,76.6,267.0,91.2
63.0,1,4,126.26086956521739,51.65217391304348,257.30434782608694,100.78260869565217
63.0,2,1,124.76086956521739,46.06521739130435,250.80434782608697,82.30434782608695
63.0,2,2,117.76595744680851,49.177304964539005,226.31914893617022,102.67375886524823
63.0,2,3,127.0,57.0,230.0,89.0
63.0,2,4,117.3529411764706,53.38235294117647,246.08823529411765,86.94117647058823
63.0,3,1,122.0,48.34090909090909,249.97727272727272,85.25
63.0,3,2,116.83687943262412,49.45390070921986,231.98581560283688,104.68794326241135
63.0,3,4,122.64,54.56,250.96,90.12
63.0,4,1,124.96875,46.78125,244.03125,90.15625
63.0,4,2,118.8344827586207,49.213793103448275,232.93103448275863,104.1448275862069
63.0,4,3,149.25,62.75,255.0,111.75
63.0,4,4,120.56666666666666,53.93333333333333,232.5,84.86666666666666
64.0,1,1,114.6086956521739,49.45652173913044,238.2826086956522,81.06521739130434
64.0,1,2,116.95454545454545,49.2,232.65454545454546,105.9
64.0,1,3,122.875,67.5,255.5,83.75
64.0,1,4,114.45714285714286,56.8,251.9142857142857,86.05714285714286
64.0,2,1,120.45238095238095,46.904761904761905,256.8333333333333,84.5952380952381
64.0,2,2,121.12173913043478,49.904347826086955,235.87826086956522,105.62608695652175
64.0,2,3,128.83333333333334,58.5,243.16666666666666,95.16666666666667
64.0,2,4,123.27586206896552,52.13793103448276,259.2758620689655,96.20689655172414
64.0,3,1,125.25,48.333333333333336,246.08333333333334,82.97916666666667
64.0,3,2,115.51937984496124,49.72093023255814,234.65891472868216,102.64341085271317
64.0,3,3,155.0,38.5,226.0,96.0
64.0,3,4,125.60975609756098,53.31707317073171,262.3170731707317,88.63414634146342
64.0,4,1,127.58181818181818,48.836363636363636,256.54545454545456,81.30909090909091
64.0,4,2,114.52631578947368,49.41447368421053,237.90131578947367,99.83552631578948
64.0,4,3,120.625,67.125,256.75,83.875
64.0,4,4,125.22222222222223,54.97222222222222,266.25,99.05555555555556
65.0,1,1,109.41463414634147,47.19512195121951,237.2439024390244,87.09756097560975
65.0,1,2,113.48453608247422,51.06185567010309,230.35051546391753,106.23711340206185
65.0,1,3,128.2,67.0,263.4,106.0
65.0,1,4,122.6969696969697,55.63636363636363,267.54545454545456,88.6969696969697
65.0,2,1,125.11111111111111,46.7037037037037,265.8888888888889,92.88888888888889
65.0,2,2,108.84761904761905,50.42857142857143,232.26666666666668,94.83809523809524
65.0,2,3,135.0,59.0,211.0,81.0
65.0,2,4,120.56410256410257,56.51282051282051,251.94871794871796,82.02564102564102
65.0,3,1,118.9090909090909,48.81818181818182,264.22727272727275,86.13636363636364
65.0,3,2,117.76744186046511,50.666666666666664,236.4418604651163,109.74418604651163
65.0,3,3,115.0,50.0,273.0,104.0
65.0,3,4,121.3529411764706,59.05882352941177,277.05882352941177,87.0
65.0,4,1,115.74358974358974,47.46153846153846,256.2564102564103,94.07692307692308
65.0,4,2,113.42727272727272,49.4,227.6727272727273,103.49090909090908
65.0,4,3,126.0,68.8,244.0,81.2
65.0,4,4,118.53125,52.90625,260.96875,85.5625
66.0,1,1,126.93103448275862,47.63793103448276,270.2586206896552,94.20689655172414
66.0,1,2,113.83018867924528,51.660377358490564,234.00943396226415,104.19811320754717
66.0,1,3,141.85714285714286,74.57142857142857,317.57142857142856,93.0
66.0,1,4,110.94285714285714,52.77142857142857,249.02857142857144,88.14285714285714
66.0,2,1,118.45283018867924,48.0377358490566,255.60377358490567,84.77358490566037
66.0,2,2,112.7542372881356,50.04237288135593,227.88983050847457,100.0677966101695
66.0,2,3,130.0,66.0,236.0,64.0
66.0,2,4,109.83333333333333,53.791666666666664,261.7083333333333,100.5
66.0,3,1,111.5,50.075,237.3,83.325
66.0,3,2,122.60144927536231,52.072463768115945,242.64492753623188,106.73913043478261
66.0,3,4,128.83333333333334,54.611111111111114,272.0,95.69444444444444
66.0,4,1,116.6140350877193,46.94736842105263,246.3684210526316,84.80701754385964
66.0,4,2,109.8952380952381,50.06666666666667,232.67619047619047,102.54285714285714
66.0,4,3,129.0,66.0,291.0,85.6
66.0,4,4,111.15686274509804,53.372549019607845,237.41176470588235,81.66666666666667
67.0,1,1,113.89473684210526,48.71052631578947,243.1578947368421,94.8157894736842
67.0,1,2,114.58823529411765,53.23529411764706,239.87254901960785,107.33333333333333
67.0,1,3,135.75,76.25,295.5,81.0
67.0,1,4,103.66666666666667,53.53333333333333,253.26666666666668,92.53333333333333
67.0,2,1,106.27777777777777,47.388888888888886,255.22222222222223,82.02777777777777
67.0,2,2,119.33333333333333,51.59375,241.11458333333334,105.45833333333333
67.0,2,3,122.5,53.5,200.0,75.5
67.0,2,4,121.42857142857143,55.32142857142857,276.89285714285717,95.39285714285714
67.0,3,1,113.39622641509433,49.905660377358494,252.73584905660377,84.62264150943396
67.0,3,2,112.86,51.86,233.41,104.18
67.0,3,4,120.14285714285714,55.5,271.39285714285717,96.28571428571429
67.0,4,1,109.8695652173913,48.43478260869565,251.67391304347825,90.65217391304348
67.0,4,2,111.27522935779817,50.30275229357798,231.63302752293578,102.5137614678899
67.0,4,3,138.25,80.75,269.5,97.0
67.0,4,4,119.96,52.96,255.68,87.52
68.0,1,1,129.73333333333332,50.43333333333333,276.3333333333333,99.43333333333334
68.0,1,2,112.8,52.63333333333333,240.07777777777778,109.13333333333334
68.0,1,3,125.33333333333333,67.33333333333333,289.8888888888889,94.0
68.0,1,4,121.03571428571429,55.642857142857146,274.5,89.5
68.0,2,1,123.96296296296296,50.25925925925926,264.1296296296296,90.20370370370371
68.0,2,2,111.38541666666667,51.5625,239.26041666666666,101.26041666666667
68.0,2,3,98.0,48.0,207.0,85.0
68.0,2,4,127.56521739130434,60.95652173913044,280.5217391304348,91.56521739130434
68.0,3,1,125.225,49.675,299.075,102.125
68.0,3,2,109.77380952380952,50.976190476190474,230.58333333333334,102.30952380952381
68.0,3,3,128.5,59.5,245.0,72.5
68.0,3,4,115.475,55.475,250.725,97.275
68.0,4,1,121.48214285714286,49.857142857142854,263.51785714285717,85.73214285714286
68.0,4,2,111.20689655172414,51.55172413793103,246.0344827586207,102.2183908045977
68.0,4,3,136.0,59.333333333333336,294.5,94.66666666666667
68.0,4,4,116.25,57.90909090909091,260.04545454545456,87.4090909090909
69.0,1,1,116.69047619047619,50.11904761904762,272.4761904761905,87.69047619047619
69.0,1,2,104.47435897435898,53.37179487179487,236.43589743589743,101.1923076923077
69.0,1,3,126.375,64.375,270.0,94.375
69.0,1,4,110.16666666666667,57.27777777777778,259.22222222222223,91.27777777777777
69.0,2,1,122.15625,49.34375,279.53125,97.3125
69.0,2,2,113.4047619047619,52.023809523809526,243.79761904761904,105.95238095238095
69.0,2,3,123.0,55.333333333333336,250.66666666666666,92.33333333333333
69.0,2,4,117.45454545454545,55.36363636363637,271.72727272727275,88.0909090909091
69.0,3,1,115.875,50.65625,278.65625,89.65625
69.0,3,2,125.27536231884058,54.53623188405797,261.40579710144925,110.81159420289855
69.0,3,3,121.0,46.5,197.5,84.0
69.0,3,4,110.38888888888889,55.666666666666664,253.25,90.41666666666667
69.0,4,1,124.91111111111111,50.666666666666664,262.15555555555557,90.53333333333333
69.0,4,2,116.22058823529412,53.705882352941174,248.61764705882354,99.38235294117646
69.0,4,3,122.42857142857143,66.14285714285714,266.57142857142856,90.85714285714286
69.0,4,4,105.03846153846153,55.61538461538461,244.1153846153846,82.53846153846153
70.0,1,1,111.75862068965517,50.41379310344828,263.41379310344826,84.63793103448276
70.0,1,2,107.0,53.26315789473684,238.47368421052633,105.53947368421052
70.0,1,3,110.57142857142857,65.71428571428571,263.0,93.71428571428571
70.0,1,4,124.0,58.9375,264.46875,98.8125
70.0,2,1,124.22222222222223,50.861111111111114,284.77777777777777,91.36111111111111
70.0,2,2,110.67796610169492,52.08474576271186,247.66101694915255,102.83050847457628
70.0,2,3,176.0,60.5,334.0,120.5
70.0,2,4,113.13333333333334,56.4,256.8666666666667,89.93333333333334
70.0,3,1,119.72972972972973,53.486486486486484,277.7837837837838,98.1891891891892
70.0,3,2,110.94642857142857,53.07142857142857,242.53571428571428,113.16071428571429
70.0,3,3,76.0,62.0,210.0,103.0
70.0,3,4,120.48275862068965,60.0,259.2068965517241,90.93103448275862
70.0,4,1,117.61538461538461,49.64102564102564,264.53846153846155,91.76923076923077
70.0,4,2,113.98630136986301,54.273972602739725,249.86301369863014,99.87671232876713
70.0,4,3,119.5,69.8,282.2,97.0
70.0,4,4,125.75757575757575,58.484848484848484,269.3333333333333,91.27272727272727
71.0,1,1,113.95121951219512,51.41463414634146,265.4634146341463,87.90243902439025
71.0,1,2,112.03846153846153,55.07692307692308,245.8653846153846,114.5
71.0,1,3,118.71428571428571,62.714285714285715,259.85714285714283,86.0
71.0,1,4,119.80645161290323,56.74193548387097,278.96774193548384,94.61290322580645
71.0,2,1,119.26315789473684,50.23684210526316,274.42105263157896,93.8157894736842
71.0,2,2,108.8,52.96363636363636,242.61818181818182,101.16363636363636
71.0,2,3,115.0,60.0,234.75,88.0
71.0,2,4,136.17391304347825,57.17391304347826,309.1304347826087,89.08695652173913
71.0,3,1,114.57142857142857,51.857142857142854,259.6857142857143,90.45714285714286
71.0,3,2,106.60975609756098,53.90243902439025,228.2439024390244,104.1951219512195
71.0,3,3,39.0,47.0,249.0,97.0
71.0,3,4,126.21739130434783,56.26086956521739,271.2608695652174,89.26086956521739
71.0,4,1,125.37931034482759,51.793103448275865,271.3448275862069,90.65517241379311
71.0,4,2,113.27027027027027,51.891891891891895,242.75675675675674,111.29729729729729
71.0,4,3,133.72727272727272,71.0909090909091,259.0,86.54545454545455
71.0,4,4,115.13888888888889,57.25,260.47222222222223,90.19444444444444
72.0,1,1,116.57446808510639,52.319148936170215,273.7659574468085,97.2127659574468
72.0,1,2,111.28571428571429,55.875,247.75,100.08928571428571
72.0,1,3,130.5,74.16666666666667,280.5,96.16666666666667
72.0,1,4,129.53333333333333,61.13333333333333,283.1,89.06666666666666
72.0,2,1,125.15555555555555,51.28888888888889,269.0,91.6
72.0,2,2,130.0625,53.229166666666664,281.5833333333333,110.8125
72.0,2,3,130.66666666666666,62.666666666666664,236.66666666666666,130.33333333333334
72.0,2,4,114.66666666666667,59.21212121212121,269.8484848484849,98.75757575757575
72.0,3,1,118.66666666666667,52.50877192982456,280.2631578947368,95.59649122807018
72.0,3,2,118.86538461538461,54.05769230769231,258.7692307692308,107.84615384615384
72.0,3,3,103.33333333333333,61.333333333333336,249.33333333333334,82.0
72.0,3,4,119.91666666666667,61.583333333333336,262.2916666666667,86.16666666666667
72.0,4,1,122.96428571428571,51.339285714285715,258.5892857142857,87.80357142857143
72.0,4,2,115.82692307692308,53.69230769230769,258.8076923076923,108.5576923076923
72.0,4,3,123.4,68.2,237.0,80.4
72.0,4,4,123.76923076923077,56.92307692307692,282.2307692307692,88.8076923076923
73.0,1,1,113.60714285714286,53.25,267.89285714285717,84.03571428571429
73.0,1,2,109.45454545454545,57.72727272727273,239.86363636363637,104.04545454545455
73.0,1,3,115.7,72.8,276.0,98.6
73.0,1,4,107.86363636363636,62.5,265.95454545454544,100.22727272727273
73.0,2,1,119.94594594594595,54.08108108108108,272.3783783783784,94.4054054054054
73.0,2,2,113.76190476190476,54.476190476190474,252.57142857142858,108.04761904761905
73.0,2,4,115.76923076923077,57.84615384615385,274.5769230769231,81.34615384615384
73.0,3,1,120.86666666666666,52.13333333333333,274.53333333333336,100.23333333333333
73.0,3,2,122.92307692307692,56.38461538461539,267.6923076923077,113.35897435897436
73.0,3,3,122.75,54.5,284.0,87.75
73.0,3,4,118.28571428571429,61.523809523809526,281.04761904761904,98.14285714285714
73.0,4,1,131.6764705882353,51.705882352941174,290.55882352941177,88.26470588235294
73.0,4,2,108.5952380952381,54.30952380952381,257.54761904761904,109.52380952380952
73.0,4,3,122.11111111111111,69.77777777777777,248.11111111111111,83.22222222222223
73.0,4,4,118.33333333333333,56.666666666666664,283.1111111111111,101.05555555555556
74.0,1,1,130.58536585365854,55.926829268292686,294.7317073170732,94.41463414634147
74.0,1,2,108.71428571428571,57.02857142857143,260.6,96.94285714285714
74.0,1,3,107.0,62.75,257.75,87.25
74.0,1,4,115.23809523809524,60.42857142857143,273.0,94.66666666666667
74.0,2,1,138.4878048780488,53.390243902439025,320.5609756097561,109.3170731707317
74.0,2,2,128.21875,55.8125,281.15625,109.09375
